territory,year,population_total,population_density,population_pp_pc
Chaves,2019,37893,63.9,79.1
Chaves,2020,37759,63.8,
Chaves,2021,37583,63.3,82.5
Chaves,2022,37376,63.1,
Chaves,2023,37373,63.3,83.3
Chaves,2024,37371,63.1,
Cinfães,2016,18812,78.1,
Cinfães,2017,18560,77.0,56.9
Cinfães,2018,18315,76.1,
Cinfães,2019,18090,75.1,59.4
Cinfães,2020,17908,74.5,
Cinfães,2021,17769,74.0,64.1
Cinfães,2022,17630,73.4,
Cinfães,2023,17496,72.8,65.6
Cinfães,2024,17363,72.3,
Coimbra,2016,142130,444.7,
Coimbra,2017,142043,444.7,128.7
Coimbra,2018,142077,444.9,
Coimbra,2019,142498,447.3,126.3
Coimbra,2020,142223,443.2,
Coimbra,2021,141727,444.2,119.8
Coimbra,2022,142351,447.1,
Coimbra,2023,143818,453.4,118.8
Coimbra,2024,145861,459.9,
Condeixa-a-Nova,2016,16857,121.4,
Condeixa-a-Nova,2017,16821,121.2,77.9
Condeixa-a-Nova,2018,16784,120.8,
Condeixa-a-Nova,2019,16765,121.0,79.0
Condeixa-a-Nova,2020,16796,121.3,
Condeixa-a-Nova,2021,16905,122.5,84.1
Condeixa-a-Nova,2022,17099,124.1,
Condeixa-a-Nova,2023,17380,126.6,83.9
Condeixa-a-Nova,2024,17719,129.0,
Constância,2016,3907,48.4,
Constância,2017,3875,48.0,83.1
Constância,2018,3844,47.7,
Constância,2019,3823,47.5,81.6
Constância,2020,3803,47.1,
Constância,2021,3806,47.6,85.0
Constância,2022,3850,48.2,
Constância,2023,3918,49.2,82.0
Constância,2024,3989,50.0,
Coruche,2016,18441,16.4,
Coruche,2017,18172,16.2,76.8
Coruche,2018,17905,15.9,
Coruche,2019,17688,15.8,77.2
Coruche,2020,17557,15.7,
Coruche,2021,17477,15.6,78.0
Coruche,2022,17413,15.6,
Coruche,2023,17369,15.6,79.5
